加油站编码,加油站名称,油品编码,油品名称,需求量下限（升）,最可能需求量（升）,需求量上限（升）
90001,加油站1站,60001,92号汽油,7731,9378,11026
90001,加油站1站,60002,95号汽油,9265,10055,10845
90001,加油站1站,60003,0号柴油,9273,9920,10567
90002,加油站2站,60001,92号汽油,4733,6839,8944
90002,加油站2站,60002,95号汽油,6409,8486,10563
90002,加油站2站,60003,0号柴油,7407,9143,10880
90003,加油站3站,60001,92号汽油,6459,8075,9691
90003,加油站3站,60002,95号汽油,8123,9510,10897
90003,加油站3站,60003,0号柴油,9281,9977,10672
90004,加油站4站,60001,92号汽油,5362,7965,10568
90004,加油站4站,60002,95号汽油,7338,9426,11514
90004,加油站4站,60003,0号柴油,8002,9829,11655
90005,加油站5站,60001,92号汽油,7447,9026,10605
90005,加油站5站,60002,95号汽油,8790,9643,10496
90005,加油站5站,60003,0号柴油,9273,9991,10710
90006,加油站6站,60001,92号汽油,4628,6979,9329
90006,加油站6站,60002,95号汽油,5189,8079,10970
90006,加油站6站,60003,0号柴油,7433,9531,11628
90007,加油站7站,60001,92号汽油,6425,8143,9862
90007,加油站7站,60002,95号汽油,8037,9660,11283
90007,加油站7站,60003,0号柴油,9135,9991,10846
90008,加油站8站,60001,92号汽油,4603,5980,7357
90008,加油站8站,60002,95号汽油,4193,6966,9739
90008,加油站8站,60003,0号柴油,4938,7993,11048
90009,加油站9站,60001,92号汽油,8194,9673,11153
90009,加油站9站,60002,95号汽油,9368,10012,10656
90009,加油站9站,60003,0号柴油,9462,10016,10571
90010,加油站10站,60001,92号汽油,7233,9345,11457
90010,加油站10站,60002,95号汽油,8988,9881,10775
90010,加油站10站,60003,0号柴油,9423,9952,10481
90011,加油站11站,60001,92号汽油,7149,8574,9998
90011,加油站11站,60002,95号汽油,8699,9845,10990
90011,加油站11站,60003,0号柴油,9502,10099,10696
90012,加油站12站,60001,92号汽油,8003,9518,11032
90012,加油站12站,60002,95号汽油,9352,9996,10639
90012,加油站12站,60003,0号柴油,9372,9938,10503
90013,加油站13站,60001,92号汽油,4681,5980,7280
90013,加油站13站,60002,95号汽油,5004,6749,8493
90013,加油站13站,60003,0号柴油,5920,7872,9824
90014,加油站14站,60001,92号汽油,5284,7833,10383
90014,加油站14站,60002,95号汽油,7522,9561,11601
90014,加油站14站,60003,0号柴油,8773,9947,11121
90015,加油站15站,60001,92号汽油,5730,7250,8771
90015,加油站15站,60002,95号汽油,7034,8635,10236
90015,加油站15站,60003,0号柴油,8509,9956,11403
90016,加油站16站,60001,92号汽油,6269,8146,10023
90016,加油站16站,60002,95号汽油,7592,9375,11157
90016,加油站16站,60003,0号柴油,9152,10015,10878
90017,加油站17站,60001,92号汽油,3840,5680,7521
90017,加油站17站,60002,95号汽油,4634,6689,8743
90017,加油站17站,60003,0号柴油,5279,7802,10325
90018,加油站18站,60001,92号汽油,5642,7071,8500
90018,加油站18站,60002,95号汽油,7113,8886,10659
90018,加油站18站,60003,0号柴油,8493,9850,11206
90019,加油站19站,60001,92号汽油,2883,5007,7130
90019,加油站19站,60002,95号汽油,4061,6318,8576
90019,加油站19站,60003,0号柴油,4072,7087,10102
90020,加油站20站,60001,92号汽油,5913,7884,9856
90020,加油站20站,60002,95号汽油,7272,9307,11342
90020,加油站20站,60003,0号柴油,8645,9904,11163
90021,加油站21站,60001,92号汽油,4047,5853,7659
90021,加油站21站,60002,95号汽油,5412,7098,8785
90021,加油站21站,60003,0号柴油,5102,8118,11133
90022,加油站22站,60001,92号汽油,5582,7066,8550
90022,加油站22站,60002,95号汽油,6341,8233,10125
90022,加油站22站,60003,0号柴油,8219,9684,11149
90023,加油站23站,60001,92号汽油,6638,8294,9950
90023,加油站23站,60002,95号汽油,8750,9875,11001
90023,加油站23站,60003,0号柴油,9245,9973,10701
90024,加油站24站,60001,92号汽油,5311,7384,9457
90024,加油站24站,60002,95号汽油,6421,8797,11174
90024,加油站24站,60003,0号柴油,8062,9623,11185
90025,加油站25站,60001,92号汽油,5288,6993,8698
90025,加油站25站,60002,95号汽油,6171,8305,10438
90025,加油站25站,60003,0号柴油,7769,9432,11094
